2; Нидерланды;Амстердам;2015-05-11 12:00:01
2; Андорра;Андорра-ла-Велья;2015-05-11 12:00:01
2; Греция;Афины;2015-05-11 12:00:01
2; Сербия;Белград;2015-05-11 12:00:01
2; Германия;Берлин;2015-05-11 12:00:01
2; Швейцария;Берн;2015-05-11 12:00:01
2; Словакия;Братислава;2015-05-11 12:00:01
2; Бельгия;Брюссель;2015-05-11 12:00:01
2; Венгрия;Будапешт;2015-05-11 12:00:01
2; Румыния;Бухарест;2015-05-11 12:00:01
2; Лихтенштейн;Вадуц;2015-05-11 12:00:01
2; Мальта;Валлетта;2015-05-11 12:00:01
2; Польша;Варшава;2015-05-11 12:00:01
2; Ватикан;Ватикан;2015-05-11 12:00:01
2; Австрия;Вена;2015-05-11 12:00:01
2; Литва;Вильнюс;2015-05-11 12:00:01
2; Ирландия;Дублин;2015-05-11 12:00:01
2; Хорватия;Загреб;2015-05-11 12:00:01
2; Украина;Киев;2015-05-11 12:00:01
2; Молдавия;Кишинёв;2015-05-11 12:00:01
2; Дания;Копенгаген;2015-05-11 12:00:01
2; Португалия;Лиссабон;2015-05-11 12:00:01
2; Великобритания;Лондон;2015-05-11 12:00:01
2; Словения;Любляна;2015-05-11 12:00:01
2; Люксембург;Люксембург;2015-05-11 12:00:01
2; Испания;Мадрид;2015-05-11 12:00:01
2; Белоруссия;Минск;2015-05-11 12:00:01
2; Монако;Монако;2015-05-11 12:00:01
2; Россия;Москва;2015-05-11 12:00:01
2; Норвегия;Осло;2015-05-11 12:00:01
2; Франция;Париж;2015-05-11 12:00:01
2; Чехия;Прага;2015-05-11 12:00:01
2; Исландия;Рейкьявик;2015-05-11 12:00:01
2; Латвия;Рига;2015-05-11 12:00:01
2; Италия;Рим;2015-05-11 12:00:01
2; Сан-Марино;Сан-Марино;2015-05-11 12:00:01
2; Босния и Герцеговина;Сараево;2015-05-11 12:00:01
2; Македония;Скопье;2015-05-11 12:00:01
2; Болгария;София;2015-05-11 12:00:01
2; Швеция;Стокгольм;2015-05-11 12:00:01
2; Эстония;Таллин;2015-05-11 12:00:01
2; Албания;Тирана;2015-05-11 12:00:01
2; Финляндия;Хельсинки;2015-05-11 12:00:01
2; Черногория;Подгорица;2015-05-11 12:00:01
2; ОАЭ;Абу-Даби;2015-05-11 12:00:01
2; Иордания;Амман;2015-05-11 12:00:01
2; Турция;Анкара;2015-05-11 12:00:01
2; Казахстан;Астана;2015-05-11 12:00:01
2; Туркмения;Ашхабад;2015-05-11 12:00:01
2; Ирак;Багдад;2015-05-11 12:00:01
2; Азербайджан;Баку;2015-05-11 12:00:01
2; Таиланд;Бангкок;2015-05-11 12:00:01
2; Бруней;Бандар-Сери-Бегаван;2015-05-11 12:00:01
2; Ливан;Бейрут;2015-05-11 12:00:01
2; Киргизия;Бишкек;2015-05-11 12:00:01
2; Лаос;Вьентьян;2015-05-11 12:00:01
2; Бангладеш;Дакка;2015-05-11 12:00:01
2; Сирия;Дамаск;2015-05-11 12:00:01
2; Индия;Дели (Нью-Дели);2015-05-11 12:00:01
2; Индонезия;Джакарта;2015-05-11 12:00:01
2; Восточный Тимор;Дили;2015-05-11 12:00:01
2; Катар;Доха;2015-05-11 12:00:01
